"Id","PSCV.1","MPS.1","MPFD.1","PSCV.2","MPS.2","MPFD.2","PD.2","PSCV.3","MPFD.3","PSCV.4","MPS.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","MPS.All","MPFD.All","SR"
811,1533.068133,290.6741349,1.040695503,4262.721378,1003.772913,1.040449733,0.058037735,3172.341058,1.043429425,154.1926164,297.2933064,458.4043274,1.0308236,0.000992264,245.6891284,61.8654967,1.037308062,0.009689169,5153.264737,421.6373647,1.041596114,0
812,1971.308521,374.6932496,1.040523449,3968.544118,1163.745973,1.039617338,0.050702762,2524.010639,1.042251211,167.9891097,266.2110978,447.2056531,1.036649531,0.001031177,257.0353559,57.78826837,1.03469109,0.007373886,5073.829655,439.9349034,1.040878095,0
813,2592.291082,450.5429798,1.040499501,3883.721409,1181.479468,1.040048242,0.048737689,1061.536541,1.0422876,199.8775852,196.5596486,392.8786791,1.036825413,0.001323019,266.8936593,59.1054484,1.033244939,0.004980778,5043.758568,439.6714693,1.041054663,0
814,3007.246125,509.9705833,1.041109064,3765.622946,1155.995869,1.039226669,0.0476676,469.4102744,1.042480505,208.3593425,188.1648528,392.0590501,1.037949783,0.001264651,252.4514479,61.56970965,1.03392108,0.003365916,4949.576856,431.6586442,1.041274433,0
815,3515.204512,509.3056947,1.041566927,3809.620017,1006.864272,1.038374482,0.050800043,467.8990698,1.04224588,241.084231,169.5138848,408.6712457,1.039089183,0.001147914,165.001251,58.66050567,1.036700874,0.002704407,4900.690303,406.7874536,1.041172587,0
816,3213.978247,517.023354,1.042365832,3692.259049,817.9441005,1.039625716,0.058212841,435.5731095,1.043478486,248.6438614,147.8007131,367.4974002,1.042482053,0.000972808,208.9042031,81.02686197,1.041482586,0.002081809,4409.774101,376.3461577,1.042310996,0
817,2406.523734,456.8017158,1.04243055,4535.78718,946.6893855,1.03898878,0.053699011,389.8381443,1.044372005,262.0885994,333.7213494,874.6456103,1.038149366,0.000817159,454.722584,101.8085328,1.036900518,0.002860056,5383.310817,371.7459479,1.042679769,0
818,2714.855825,359.3899057,1.041319267,4396.372419,1233.590801,1.038742349,0.045644159,390.4809573,1.044597332,237.9624167,282.0137661,671.0867733,1.034158279,0.001323019,670.9037594,128.2992301,1.035846258,0.007004219,6053.658837,386.0417212,1.042319426,0
819,2160.479716,269.3038244,1.040316103,3811.004576,2083.847386,1.036856047,0.030954756,390.4898897,1.044597879,236.6324674,270.5194443,640.136836,1.030523623,0.003151898,747.3389971,159.6598903,1.035708368,0.014436473,6707.791872,439.6714693,1.041357189,0
820,950.3989972,168.0285913,1.040405244,3175.701298,3642.860965,1.033720958,0.020428972,488.114875,1.044594416,226.4213904,238.218802,539.3783236,1.030443867,0.004358181,818.4773717,152.457334,1.034714617,0.017004687,7221.335263,524.7329736,1.04067841,0
821,542.0054281,98.28180242,1.039257317,2397.908971,7309.321133,1.032101151,0.011362399,536.2619013,1.04456112,217.6997621,226.4947302,493.078489,1.030368063,0.004902953,760.1158132,134.9661258,1.034216278,0.020857007,7174.429893,678.2474896,1.039463639,0
822,536.4132035,87.41416691,1.0385617,2021.267621,10704.05721,1.033832165,0.00811322,386.5981068,1.042563088,166.2041559,203.1677431,337.6732326,1.029559527,0.006965306,612.5847069,140.8993313,1.035660976,0.022432956,6802.587022,820.7856078,1.038343073,0
823,585.6297411,101.7938556,1.038679614,2169.277146,8263.838273,1.033082022,0.01019503,564.8705756,1.040735283,385.0993143,271.0998088,1044.003505,1.030011095,0.00694585,658.0897078,195.5832061,1.037675172,0.021966008,6314.608483,821.966972,1.038230893,0
