"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSSD.All","SR"
56,590.5766821,305.1693581,1802.25907,1.047144102,0.115853799,1108.510443,410.147055,4546.522937,1.045827496,0.107891339,194.2373623,119.2600915,1.05868135,0.170794776,0,0,0,0,50,20.64255769,10.32127885,1.010792859,0.001194369,2570.532047,0
57,807.0930787,785.8829361,6342.806784,1.04433638,0.067282791,597.7469448,239.1524789,1429.526636,1.048635201,0.111872569,200.5253337,114.809731,1.058202607,0.177164745,0,0,1.016963949,0.000398123,0,20.64255769,0,1.056640337,0.000398123,2875.882775,0
58,1012.927033,606.0214844,6138.555441,1.043102591,0.078430235,867.4901673,587.9943363,5100.793051,1.042400005,0.06449593,159.8046031,85.56751081,1.050578083,0.16999853,0,0,0,0,0,0,0,0,0,3849.682152,0
59,536.601326,286.9591674,1539.826697,1.045235244,0.119038784,841.2988212,629.9123633,5299.445287,1.042426228,0.078430235,238.1142244,106.4820941,1.047421279,0.152082994,33.67175149,36.49123131,1.022995426,0.000796246,77.3224592,56.02979945,43.32361882,1.040639192,0.002786861,2660.557303,0
60,590.5623604,282.0647299,1665.768127,1.049318968,0.109085708,1115.367817,740.7679852,8262.287701,1.041127369,0.071264021,225.1175307,110.0451843,1.050469484,0.141333673,135.3282314,423.6839918,1.023988864,0.002388738,83.38810196,26.99411391,22.50987923,1.021924501,0.005175599,3964.127443,0
61,292.5700486,133.9916559,392.0194527,1.047541565,0.111076323,883.0667693,2181.440045,19263.57213,1.035205985,0.032646088,257.2908094,92.48311369,1.04638785,0.1106782,65.18150921,118.6934739,1.024816833,0.005573722,228.967288,554.768738,1270.238934,1.021868262,0.004777476,6770.898418,0
62,230.9547739,63.5403729,146.7495246,1.042196576,0.101919494,422.771042,11902.72813,50321.28773,1.03957615,0.007166214,422.8964937,83.17482451,1.045834601,0.095151402,12.24744871,8.427288889,1.009181045,0.002388738,68.68098856,53.08086264,36.4564612,1.043369746,0.002786861,9311.112631,0
63,173.6587892,69.44044068,120.5894285,1.042177325,0.117048168,244.8243655,36520.12499,89410.16429,1.050870938,0.002388738,108.8946305,44.6802729,1.037365149,0.090772049,0,0,1.123724502,0.000398123,114.0377727,95.70640385,109.1414513,1.046674234,0.004379353,9423.397121,0
64,309.3053113,109.7280957,339.3948281,1.04400568,0.127399367,543.1464009,6686.468479,36317.3129,1.049053317,0.011943691,179.2744972,55.91339405,1.037482568,0.105900724,9.428090416,7.298246263,1.02495181,0.000796246,76.61915627,36.98458253,28.33727509,1.026478298,0.004777476,7928.006821,0
65,248.6240228,95.52418364,237.4960681,1.042160222,0.137352443,588.4951536,5076.594724,29875.51392,1.028350539,0.013934306,309.107202,103.4515841,1.043740619,0.154869856,70.71067812,58.3859701,1.02750948,0.000796246,34.40104581,26.835325,9.231632446,1.019728705,0.001990615,6348.349781,0
66,139.5181293,46.36873034,64.69278516,1.034011785,0.133371212,487.7395459,7332.838567,35765.15353,1.034204076,0.009554953,309.6591424,120.234575,1.050371073,0.197469019,0,0,0,0,0,20.64255769,0,1.009624609,0.000398123,5993.666937,0
67,511.3810727,111.4241926,569.8022316,1.036740886,0.072060267,628.3276983,3732.942526,23455.11185,1.044568667,0.01711929,399.5107753,190.0231122,1.058259486,0.147305518,0,0,1.008159591,0.000398123,0,0,0,0,0,6341.287942,0
68,425.7190397,269.8388886,1148.755525,1.053814032,0.105104478,761.1326963,2582.011725,19652.53546,1.036366379,0.024285504,190.1573337,79.85217157,1.043689281,0.111872569,0,0,0,0,0,0,0,0,0,6278.709691,0
69,1003.062159,319.2378765,3202.154338,1.048830318,0.113863184,1027.566429,1079.905417,11096.74554,1.045919919,0.049367255,595.7283664,175.3785043,1.046395603,0.049367255,119.6642245,722.52638,1.043351866,0.000796246,209.124444,430.5447747,900.3743665,1.049281715,0.002786861,5806.11251,0
70,639.5192177,275.4641311,1761.646056,1.047005768,0.13695432,905.5993526,1656.395124,15000.30352,1.04539736,0.036229195,117.1762165,41.13333187,1.032206566,0.054144731,0,0,0,0,15.71348403,46.44575481,7.298246263,1.061469556,0.000796246,6128.219337,0
71,484.0555547,170.5128195,825.3767743,1.043219109,0.155267979,930.1298509,1666.939736,15504.70408,1.046567258,0.038617933,186.8420714,48.18875223,1.036460035,0.180349729,0,0,1.034513382,0.000398123,217.1160752,79.62129396,172.8706285,1.050235612,0.005573722,4969.826129,0
72,933.7878385,293.9090192,2744.486678,1.049549593,0.116251922,809.9908892,938.7482064,7603.774944,1.044422445,0.058922207,178.2502566,52.72220816,1.041639737,0.191497174,120.624098,423.2982833,1.034829989,0.000796246,115.7477906,32.84043269,38.01207525,1.03142713,0.004379353,3399.94903,0
73,363.9824662,132.1807976,481.1149269,1.049961732,0.144120534,498.4809375,7785.134208,38807.40999,1.030674527,0.009953076,105.0590492,36.94439064,1.030363923,0.085198327,0,0,1.022435341,0.000398123,147.4304129,33.42128388,49.27313682,1.025873159,0.008360583,7780.022233,0
74,228.7733404,95.19937321,217.7907861,1.046435631,0.128195613,399.0417509,12637.11579,50427.3681,1.042522642,0.006369968,170.407629,54.4271164,1.036275643,0.064097807,197.0479662,2864.250032,1.035284436,0.002388738,114.9192097,42.31724327,48.63064151,1.023807124,0.00796246,8808.01827,0
75,315.7718373,115.8754685,365.9020959,1.041418504,0.085994573,497.6549374,8251.243161,41062.71899,1.032067346,0.009953076,185.5912161,49.92024472,1.031023263,0.08042085,197.2213425,809.7070847,1.055619727,0.003583107,127.8903039,82.29127729,105.2425646,1.052273828,0.029461104,8954.024599,0
76,1045.395713,1488.866157,15564.54298,1.038374683,0.04737664,958.4284438,598.7288637,5738.387731,1.032283683,0.043395409,142.3250178,48.74628082,1.037294464,0.066088422,43.04128233,51.08772384,1.017901381,0.000796246,103.3440855,68.80852564,71.10954155,1.047681329,0.002388738,8973.44751,0
77,496.3811465,7837.979156,38906.2508,1.035415874,0.009953076,555.8688019,276.8142984,1538.724324,1.054293755,0.06847716,105.4326115,41.42365604,1.037186848,0.05932033,45.13447539,109.4736939,1.063284953,0.000796246,97.92623716,43.63086058,42.72606001,1.041929559,0.008758706,10163.0134,0
78,540.4892827,6049.882104,32698.96439,1.059571299,0.012739937,640.4302555,347.3181026,2224.330212,1.049354739,0.058125961,99.33298271,35.30632581,1.029378144,0.065292176,0,0,0,0,91.65646202,49.26064904,45.15056808,1.041042622,0.008758706,9802.361024,0
79,729.8871236,2495.685225,18215.6851,1.030981812,0.025877996,874.0516495,363.5951499,3178.009405,1.045781616,0.08042085,231.7243515,50.0278457,1.036449305,0.101521371,58.32369066,110.362097,1.037000396,0.001194369,107.5080746,45.58564824,49.00825272,1.038968335,0.019109905,6422.181844,0
80,855.7019461,1521.636037,13020.66918,1.045607284,0.03821981,973.9991816,524.1056749,5104.784985,1.044306365,0.064894053,287.3574001,76.0652231,1.038511164,0.094753279,137.3213125,231.4974877,1.029205252,0.002388738,105.2355991,79.62129396,83.78994572,1.030134334,0.002786861,6343.815233,0
