"Id","MPS.1","MPFD.1","LPI.1","PSCV.2","MPS.2","MPFD.2","PSCV.3","MPFD.3","MPS.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","SR"
82,950.422186,1.041641438,13.18585487,3428.846897,496.4698012,1.043400194,663.1361928,1.043676224,651.564501,1.040379755,0.004610841,2266.83419,343.2495429,1.038639035,0.011152923,4645.245132,0
83,963.0690778,1.041427239,23.74499108,2662.472167,458.6329046,1.043191662,663.3966353,1.043819637,632.0049999,1.040421411,0.004761719,3380.559453,543.7015423,1.038503232,0.011273626,5706.73705,0
84,1013.687588,1.041137746,34.56917242,2853.084013,440.5655993,1.043330231,639.9290137,1.043350839,640.1815827,1.041151144,0.004749649,3712.784829,769.0918235,1.039108891,0.011340012,7310.111537,0
85,1050.695302,1.040779606,35.44503599,2823.318994,441.0721255,1.043848022,573.6444284,1.043073179,632.4408433,1.041960596,0.004864316,4054.649939,923.5223173,1.039498215,0.012209071,7523.68511,0
86,1266.7393,1.0411,37.1098,2187.561,427.6727,1.0461,303.6687,1.0434,630.4317,1.0354,0.0047,3854.0047,1442.0104,1.0399,0.0104,7557.8324,0
87,1415.2295,1.0405,38.0925,1950.0845,371.6244,1.0462,246.3859,1.0436,554.0206,1.0344,0.0043,3595.6699,2120.0707,1.0397,0.009,7796.0894,0
88,1522.9096,1.0404,37.3588,1774.8617,341.0087,1.0465,246.0119,1.0439,392.0212,1.034,0.0037,3347.7917,3372.1897,1.0391,0.0073,7931.0791,0
89,329.022494,1.047324561,6.291753951,8059.392921,626.9780948,1.043644044,1677.274365,1.051434605,220.0454088,1.023233188,0.000585408,944.5281092,144.0525695,1.031526448,0.002377842,7782.110301,0
90,298.0828529,1.047344832,4.388972877,8565.433133,730.1240157,1.043009831,855.0732179,1.05121229,228.3287488,1.022849633,0.000790602,897.9268056,143.6253834,1.030943279,0.002927039,9212.406889,0
91,271.656989,1.047432428,4.879197352,8652.831097,896.8714076,1.04292718,830.2585468,1.050699225,331.0181573,1.023485919,0.001098394,870.2097756,223.7848852,1.031887401,0.003566763,10611.37067,0
92,265.1266461,1.047063869,4.980855084,8105.491171,1029.797533,1.042804944,954.323484,1.050263292,314.1361704,1.02264214,0.001315659,863.0645015,221.4168115,1.03166207,0.00368143,10697.12014,0
93,270.6774121,1.046684254,4.875023904,8162.778793,1142.928234,1.043282256,980.728548,1.049162037,301.2697609,1.022670129,0.001563099,932.2407713,181.1684792,1.031562899,0.00456256,11328.34721,0
94,262.0648147,1.046236621,4.240036826,7720.699979,1349.576461,1.043258837,669.4986389,1.048473496,281.0748263,1.02151802,0.001557064,879.2775911,132.4022647,1.031732358,0.004985019,11706.43177,0
95,246.6010503,1.045894751,3.356698416,7484.885721,1564.357835,1.043081184,429.6382284,1.047750874,270.5303948,1.021448902,0.001544994,825.1717859,111.0718827,1.030968291,0.005009159,12305.97847,0
96,224.6303518,1.045168286,5.114093985,7022.64419,1911.453727,1.041712218,396.2808309,1.047058131,264.8212534,1.021236836,0.00158724,945.4448456,150.7657821,1.030678584,0.00481,12849.03318,0
97,207.8945993,1.044671254,5.758798346,6532.546844,2313.256621,1.040062737,490.0161428,1.046804896,254.3683111,1.022574187,0.001581204,902.6004981,171.2691973,1.030597998,0.004085784,13138.04698,0
98,189.3806801,1.043768959,5.833608968,6200.837434,2661.049048,1.038757935,619.0043284,1.046775842,248.7721004,1.022514822,0.001701907,859.0915489,192.4368386,1.030551685,0.003566763,13293.77588,0
99,174.9343612,1.043721279,5.301774588,6096.642673,2798.814153,1.038331792,675.7207085,1.0472576,239.8487807,1.022979533,0.001544994,800.4475146,160.7591133,1.031032598,0.003596938,13353.73067,0
100,166.2857545,1.043614398,4.03821633,6214.387479,2691.069342,1.038176421,686.4760233,1.047851961,191.4736703,1.02273236,0.001116499,562.566731,76.61500343,1.032534877,0.003723676,13353.49073,0
101,155.2206728,1.043248239,2.927456121,6420.102061,2485.095039,1.038350712,665.6652034,1.048228039,225.4937023,1.024108399,0.001068218,579.8839441,77.60975106,1.034375513,0.003578833,13388.25827,0
102,146.0868682,1.043560869,1.785426193,6514.117186,2405.600575,1.037594358,633.6810617,1.048392354,278.0510959,1.027051832,0.000899235,628.5050772,73.212029,1.033586171,0.003427955,13551.92353,0
103,159.1126399,1.043339149,2.551409722,6643.740179,2262.63851,1.037914066,668.8450438,1.048036018,283.2113547,1.025939474,0.001098394,623.614379,67.56997218,1.033061739,0.004073714,13204.83041,0
104,184.681289,1.043666323,4.839892188,6645.259445,2149.996657,1.039121271,711.3027856,1.047217374,381.7123804,1.026849654,0.001424291,277.9896226,49.53317318,1.032378731,0.005558356,12617.06967,0
105,238.5833351,1.044184439,8.325344605,6779.634621,1914.56221,1.040478875,740.0253515,1.045496315,330.2433912,1.027742694,0.001659661,212.3150516,54.47492908,1.036561187,0.006861945,11785.38363,0
106,330.5306078,1.044391381,14.68817176,6937.490156,1575.149899,1.041309973,753.0982645,1.043585455,319.0969702,1.027174493,0.002021769,289.8964558,62.98252076,1.038064149,0.007676687,10739.78791,0
