"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","LPI.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
64,213.8297277,75.0030584,160.3788356,1.041778055,0.1193794,1061.717003,9164.480778,97300.85069,1.035004211,0.008729475,370.8346823,90.47954632,1.043447452,102.8201931,137.9606649,1.03826781,0.00053602,296.8707229,81.32260366,1.03494071,0.170714551,0.006968265,4551.51462,18160.45223,1.042110608,0
65,259.3678881,68.22175355,176.9453214,1.039569718,0.124816179,1141.70721,7499.894721,85626.83875,1.036548958,0.010107813,401.4841256,96.4548676,1.045596235,0,0,1.022753969,7.66e-05,403.0708292,117.7117278,1.03521546,0.236313198,0.003216122,4690.719856,15804.19757,1.042635374,0
66,257.6317057,78.52122695,202.2955763,1.041040258,0.107357228,1436.540344,4280.493593,61491.01738,1.034152288,0.016157186,495.1518451,134.8154478,1.049139828,65.40606872,63.45698171,1.020117664,0.000382872,66.569414,36.12447596,1.029054812,0.005532416,0.000612595,4213.685335,14515.26732,1.045229578,0
67,565.8048124,113.980466,644.9069618,1.045151148,0.116852447,1650.611058,2867.963076,47338.91566,1.036148638,0.022206559,574.1768881,144.1654396,1.050672557,0,0,1.014655802,7.66e-05,50.59644256,51.60639423,1.047219243,0.006322761,0.000459446,3862.476535,12923.6154,1.047420099,0
68,667.5870607,161.5975545,1078.804364,1.048096975,0.107969823,2122.642076,1530.91991,32495.95016,1.035456159,0.037751151,768.4677436,210.9768547,1.052924913,159.9307881,737.3083162,1.032303867,0.000459446,395.1458993,89.66610998,1.029190564,0.186521454,0.003675568,3265.006475,12337.4963,1.048097811,0
69,595.9714951,216.0125089,1287.372979,1.048485892,0.117311893,2258.331195,1300.069,29359.86378,1.0380863,0.044106821,822.0594728,185.4325514,1.045216953,133.0785933,624.336941,1.041361158,0.000842318,117.6031754,28.32617639,1.027344885,0.021339319,0.006891691,3156.425668,12170.18253,1.044995476,0
70,838.9554316,213.3640443,1790.029239,1.04914051,0.128032301,2202.242341,1375.45476,30290.84711,1.039677436,0.043800524,936.2260134,111.2926553,1.040435654,146.1184445,612.84887,1.041737646,0.000842318,296.9598581,58.18707538,1.036476051,0.13989109,0.011409577,3416.179357,11915.75448,1.044053485,0
71,734.3625673,197.7946181,1452.529636,1.048919344,0.145414677,2074.805054,1764.760345,36615.33684,1.037849407,0.035453921,229.3338546,65.39557205,1.041475424,97.00931328,361.7052375,1.039948132,0.000612595,152.1066995,59.0248134,1.044493997,0.044259328,0.004900758,3857.338647,12401.22456,1.044586731,0
72,598.0249032,159.5927742,954.4045332,1.047978528,0.147022738,1903.202035,2322.805166,44207.67519,1.035376474,0.029021676,204.0141382,57.19074931,1.039219806,108.8256739,525.4174143,1.03844795,0.000689169,205.8758764,49.21185754,1.035742751,0.059275886,0.009571793,4343.038098,13089.45825,1.042662812,0
73,871.4405561,168.4675869,1468.094876,1.047245108,0.120910887,1743.640355,2959.765086,51607.65844,1.038764873,0.024274067,156.9794939,54.76102734,1.040514064,118.7312483,385.7742795,1.0266181,0.001914359,182.3965995,43.2747595,1.027468359,0.05690485,0.012711341,4267.411571,15209.88,1.042577612,0
74,348.2892102,113.579303,395.5844574,1.046122809,0.104830275,869.9722151,14070.61919,122410.4775,1.026708353,0.00581965,150.3238652,47.23888587,1.033911168,276.5218041,1028.675606,1.033092897,0.003598994,146.2790998,59.43511934,1.038198584,0.049001399,0.022512857,4294.869391,20306.87097,1.040208186,0
75,2303.379281,429.559311,9894.380169,1.045658047,0.075732025,1846.287268,2075.512915,38319.93069,1.039445141,0.029557696,139.3155819,46.952101,1.035159879,348.0883543,1612.036483,1.030441661,0.00352242,143.5328848,56.30257611,1.03666011,0.037936567,0.015314869,3199.118845,15885.15102,1.039768171,0
76,1407.229903,735.1327669,10345.00812,1.04351063,0.061948643,1531.015793,1045.008158,15999.23994,1.043456807,0.046327477,155.5395796,49.73691239,1.03785313,116.908631,225.7699259,1.03044112,0.002909825,152.4710205,88.05566568,1.04855161,0.070340718,0.010950131,1985.513353,9320.354023,1.041165628,0
77,1497.95327,1350.835439,20234.88364,1.044109028,0.046710349,1452.338633,544.728004,7911.295248,1.043790125,0.057047885,165.3321247,51.51817817,1.039629403,141.9586894,247.5408762,1.025177772,0.001454913,177.5071215,77.04097425,1.044983677,0.070340718,0.006432245,2185.527185,10397.53968,1.041817923,0
