"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","SR"
52,605.0663679,925.5199387,5600.009877,1.042516456,0.065903774,736.0587376,113.5085196,835.4893764,1.039099857,0.175165293,250.6253962,96.1324909,1.046471022,0.179501067,108.6343724,325.1612385,1.044893604,0.003902197,128.2155063,73.18725,93.83740314,1.036733057,0.009538704,982.8896251,2264.665058,0
53,505.6671829,1148.350688,5806.832576,1.046623496,0.051595717,602.7466596,145.1880806,875.1163056,1.040053897,0.142646983,214.0315234,79.18485131,1.045473265,0.162591546,142.4757364,222.6805304,1.039544902,0.003035042,382.7948918,314.904324,1205.437666,1.040715975,0.021245295,855.2581755,2244.097206,0
54,662.388073,640.2452236,4240.907999,1.041487895,0.082379717,483.6741263,192.1904186,929.5753282,1.046975216,0.141779829,192.6350697,87.69245353,1.046085459,0.174731715,90.25383036,926.8772754,1.053072826,0.000867155,430.1443569,178.6213155,768.3295091,1.036397922,0.021245295,829.2744069,1969.755575,0
55,323.6209924,118.5721586,383.7243963,1.045102875,0.164325856,409.7769852,1343.695461,5506.15475,1.045018222,0.046392788,238.2714709,129.4647368,1.05248672,0.139611941,0,0,1.065386305,0.000433577,0,20.64255769,0,1.009624609,0.000867155,724.4587856,2060.279471,0
56,690.7800263,335.2250322,2315.667565,1.045002265,0.124003153,794.8378105,410.1786799,3260.255238,1.044988719,0.09712135,267.1857806,101.6400222,1.050567409,0.182102532,0,0,0,0,126.5348977,98.05214904,124.0701865,1.048138839,0.000867155,831.9935396,2058.909927,0
57,553.1802014,708.9244099,3921.629479,1.046290874,0.075876055,371.1007499,186.0347577,690.3763811,1.046766886,0.142213406,161.7873042,107.893082,1.0564749,0.181668955,108.7856586,145.9649253,1.026636638,0.000867155,57.28219619,27.52341026,15.76601386,1.007584656,0.001300732,710.2264705,1767.056461,0
58,451.3684432,438.847072,1980.817197,1.050099025,0.104492167,577.4180445,324.3774644,1873.014011,1.047282648,0.114464449,191.6877821,96.36574844,1.049880854,0.176466025,0,0,0,0,0,20.64255769,0,1.009624609,0.000433577,571.0513361,1442.572604,0
59,305.5626909,269.3777887,823.11802,1.051352641,0.117933068,618.3798268,676.2657274,4181.890834,1.040365462,0.080645407,181.4019315,87.40207599,1.048058666,0.156521462,0,0,0,0,47.14045208,15.48191827,7.298246263,1.028320168,0.000867155,732.3425969,2057.3323,0
60,410.2603957,272.1868679,1116.674921,1.048900916,0.106226477,571.5177745,595.823684,3405.238259,1.045161848,0.092351998,229.6704888,91.77488004,1.047188949,0.14828349,120.3493385,241.3337644,1.029145966,0.006070084,250.9399665,167.5689977,420.4975869,1.028690442,0.007370817,663.5350295,1841.603523,0
61,301.7730313,120.9581451,365.019061,1.042902454,0.09885566,503.3863224,2676.22821,13471.76677,1.047355538,0.028182535,207.6652056,83.12174949,1.04601071,0.113597294,69.88774943,52.89760299,1.022214119,0.002601465,303.7493775,490.9979794,1491.403306,1.030764541,0.006070084,1142.932785,4584.438506,0
62,171.5559501,54.02687113,92.68631206,1.034784127,0.097988505,359.7313921,15809.02341,56870.02,1.03696502,0.005636507,456.8747792,66.020594,1.034919167,0.075442478,66.55122646,116.7719402,1.028988905,0.000867155,194.3012058,178.9021667,347.6090671,1.038902945,0.002601465,1824.340074,9994.406472,0
63,226.7518358,61.68192835,139.8649049,1.039478813,0.109261519,315.8886834,20320.53379,64190.26667,1.038839779,0.004335775,155.0289361,53.03171369,1.036847066,0.091051266,9.428090416,7.298246263,1.02495181,0.000867155,86.11633174,35.21377489,30.3248112,1.028546053,0.007370817,1950.007211,9159.843023,0
64,170.8325276,70.08385608,119.7260228,1.041691846,0.150884955,466.4333649,8304.40713,38734.52562,1.042341512,0.009538704,325.024489,91.53232887,1.040796644,0.105359322,0,0,1.123724502,0.000433577,127.1861177,56.76703366,72.19978625,1.040212601,0.006937239,1977.637896,7240.016099,0
